ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
66;7300;Interest-related income;106900,23;106900,23;0;2013-10-16 00:00:00.000
67;7500;Commission income documentary business;386526,33;386648,05;-121,72;2013-10-16 00:00:00.000
68;7600;Commission income payments;1741199,97;1741140,95;59,02;2013-10-16 00:00:00.000
69;7630;Commission income commerce;-1113032,49;-1113032,49;0;2013-10-16 00:00:00.000
70;7650;Other commission incomes;10580,19;10580,19;0;2013-10-16 00:00:00.000
71;7700;Other operating income;25114,47;25114,47;0;2013-10-16 00:00:00.000
72;7850;Foreign exchange income;1690942,44;1690942,44;0;2013-10-16 00:00:00.000
73;7870;Securities income;20390;20390;0;2013-10-16 00:00:00.000
74;4300;Provisions - taxes;515762;515762;0;2013-10-16 00:00:00.000
75;4200;Deferred income;0;0;0;2013-10-16 00:00:00.000
76;10;Cash box;-1937,06;-1937,06;0;2013-10-16 00:00:00.000
77;2600;Fixed assets;-140471,63;-140471,63;0;2013-10-16 00:00:00.000
78;2500;Intangible assets;-147671,13;-147671,13;0;2013-10-16 00:00:00.000
79;4350;Provisions - other;718987,38;718987,38;0;2013-10-16 00:00:00.000
80;2850;Accrued income;-137330,84;-137330,84;0;2013-10-16 00:00:00.000
81;4110;Other liabilities;1492969,47;1492969,47;0;2013-10-16 00:00:00.000
82;7500;Commission income documentary business;394364,1;388806,91;5557,19;2013-10-17 00:00:00.000
83;6870;Security expenses;0;0;0;2013-10-17 00:00:00.000
84;7600;Commission income payments;1749912,69;1749824,77;87,92;2013-10-17 00:00:00.000
85;6000;Wages and salaries;-2417442,03;-2417442,03;0;2013-10-17 00:00:00.000
86;7700;Other operating income;25328,74;25108,94;219,8;2013-10-17 00:00:00.000
87;5010;Interest payable banks;-11673463,67;-11673463,3;-0,37;2013-10-17 00:00:00.000
88;6100;Social contributions;-253808,44;-253808,44;0;2013-10-17 00:00:00.000
89;5500;Commission payable;-553095,15;-553095,15;0;2013-10-17 00:00:00.000
90;7300;Interest-related income;106900,23;106900,23;0;2013-10-17 00:00:00.000
91;7850;Foreign exchange income;2913900,93;2913900,93;0;2013-10-17 00:00:00.000
92;7870;Securities income;20390;20390;0;2013-10-17 00:00:00.000
93;7100;Interest income non-banks;16860632,43;16860632,43;0;2013-10-17 00:00:00.000
94;7630;Commission income commerce;-2311623,78;-2311623,78;0;2013-10-17 00:00:00.000
