ID;LineNr;CCB_Category;Blank1;AccountingCode;Source_account;Eight_digit_Number;Account_name;Level_3_Account_Code_COA_natural_account_code;Level_3_Account_Name;Account_change_status;PBC_No;blank;Amount_In_Management_Statement
6020;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13415;13415137;政府双边定期贷款 Government bilateral fixed term loan contra;122970;政府双边定期贷款 Government bilateral fixed term loan contra;NULL;NULL;NULL;0
6021;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13416;13416142;双边贴现贷款 Bilateral loan-discounted;122971;单位双边贴现贷款 Bilateral loan- Discounted- Company;NULL;NULL;NULL;0
6022;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13417;13417142;双边贴现贷款贴息 Discounted bilateral loan;122972;单位双边贴现贷款贴息 Interest subsidy- Bilateral discounted loan- Company;NULL;NULL;NULL;0
6023;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13251;13251147;金融机构银团贷款（TK) Syndicated loan financial institution（TK）;122973;金融机构银团贷款（TK) Syndicated loan- Financial institutions (TK);1512新增 Added;NULL;NULL;0
6024;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13231;13231722;双边定期贷款—商业货币市场 Bilateral fixed loan- Commercial Money market;122974;商业货币市场公司双边定期贷款 Bilateral fixed term loan- Commercial monetary market company;NULL;NULL;NULL;0
6025;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13427;13427196;公司税务贷款 Corporate tax loan;122975;公司税务贷款 Corporate tax loan;131030新增 Added;NULL;NULL;0
6026;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13428;13428196;公司税务贷款折价 Discounted corporate tax loan;122976;公司税务贷款折价 Discounted corporate tax loan;131030新增 Added;NULL;NULL;0
6027;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13418;13418150;双边分期贷款 Bilateral instalment loan;122977;单位双边分期贷款 Bilateral instalment loan- Company;NULL;NULL;NULL;0
6028;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13410;13410141;双边定期贷款 Bilateral fixed loan;122978;单位双边定期贷款 Bilateral fixed term loan- Company;NULL;NULL;NULL;250028880,72
6029;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13412;13412145;双边循环贷款 Bilateral revolving loan;122979;单位双边循环贷款 Bilateral revolving loan- Company;NULL;NULL;NULL;0
6030;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13251;13251131;银团定期贷款 Syndicated fixed term loan;122980;单位银团定期贷款 Syndicated fixed term loan- Company;NULL;NULL;NULL;191078687,39
6031;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13253;13253135;银团循环贷款 Syndicated revolving loan;122981;单位银团循环贷款 Syndicated revolving loan- Company;NULL;NULL;NULL;0
6032;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13421;13421150;双边分期贷款折价 Discounted bilateral instalment loan;122982;单位双边分期贷款折价 Discount- Bilateral instalment loan- Company;131030新增 Added;NULL;NULL;0
6033;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13410;13410156;无承诺双边定期贷款 Uncommitted bilaterall Fixed Term loan;122983;非承诺性单位双边定期贷款 Uncommitted bilateral fixed term loan- Company;1512新增 Added;NULL;NULL;0
6034;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13412;13412155;无承诺双边循环贷款 Uncommitted  bilaterall Revolving loan;122985;非承诺性单位双边循环贷款 Uncommitted bilateral revolving loan- Company;1512新增 Added;NULL;NULL;0
6035;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13700;13700136;境外贷款 Off shore loan;122986;离岸贷款 Off shore loans;NULL;NULL;NULL;0
6036;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13252;13252131;银团定期贷款折溢价 Prem/Disc- Syndicated FT ln- Bank;122989;单位银团定期贷款折溢价 Premium/Discount- Syndicated fixed term loan- Company;NULL;NULL;NULL;0
6037;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13254;13254135;银团循环贷款折溢价 Prem/Disc- Syndicated RV ln- Bank;122992;单位银团循环贷款折溢价 Premium/Discount- Syndicated revolving loan- Company;NULL;NULL;NULL;0
6038;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13256;13256139;银团循环定期贷款折溢价 Prem/Disc- Syn RV & FT ln;122993;单位银团循环定期贷款折溢价 Premium/Discount- Syndicated fixed term loan- Company;NULL;NULL;NULL;0
6039;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13411;13411141;双边定期贷款折溢价 Prem/Disc- Bilateral fixed loan;122994;单位双边定期贷款折溢价 Premium/Discount- Bilateral fixed term loan- Company;NULL;NULL;NULL;0
