ID	ClientType	BusinessType	Contract Type	ProductType	ClientNr	ContractClear	Counterparty/Issuer	StartDate	Next Event	Final Matu	Type	CURRENCY	Principal Amount/Value Balance(EUR Equ)	InterestRate	DaysToEventDate	MonthsToEventDate	MonthsToStartDate	YearsToStartDate	DaysToMaturity	DaysToMaturityFromStartDate	MonthsToMaturityFromStartDate	YearsToMaturityFromStartDate	RESTLAUFZEIT	EVENT	ProlongationNr	InterestEventCalc	InterestType	TOTAL_INTEREST	Year1_Interest	Year2_Interest	Year3_Interest	Year4_Interest	Year5_Interest
348	NONE BANK	SYNDICATED LOANS	CLDD	SYFTDD	67803642	6,7811E+14	IMCD N.V.	2016-11-04 00:00:00.000	2017-02-06 00:00:00.000	2021-11-04 00:00:00.000	Assets	USD	-8062221,38	2,67567	37	2	0	0	1769	1826	60	5	2	LIVE DATA	0	6M USD LIBOR	V	22171,06	22171,06	0	0	0	0
349	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-10-13 00:00:00.000	2017-02-27 00:00:00.000	2017-02-27 00:00:00.000	Assets	USD	-35810,49	1,8635	58	2	0	0	58	137	4	1	2	LIVE DATA	0	6M USD LIBOR	V	107,51	107,51	0	0	0	0
350	BANK	PREFINANCINGS	CLDD	EALLC	67820058	6,7811E+14	CCB HEBEI BRANCH	2016-12-06 00:00:00.000	2017-02-28 00:00:00.000	2017-02-28 00:00:00.000	Assets	USD	-5491983,15	2,05	59	2	0	0	59	84	2	1	2	LIVE DATA	0	3M USD LIBOR	V	18451,54	18451,54	0	0	0	0
351	BANK	PREFINANCINGS	CLDD	EALLC	67820078	6,7811E+14	CCB SHANXI BRANCH	2016-12-07 00:00:00.000	2017-02-28 00:00:00.000	2017-02-28 00:00:00.000	Assets	USD	-8978057,7	1,24806	59	2	0	0	59	83	2	1	2	LIVE DATA	0	3M USD LIBOR	V	18364	18364	0	0	0	0
352	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67803627	2003473	BELFIUS BANK S.A.	2016-12-20 00:00:00.000	2017-01-30 00:00:00.000	2017-01-30 00:00:00.000	Liabilities	EUR	50000000	-0,15	30	1	0	0	30	41	1	1	1	LIVE DATA	0	1M EURIBOR	V	6250	6250	0	0	0	0
353	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-01 00:00:00.000	2017-03-01 00:00:00.000	2017-03-01 00:00:00.000	Assets	USD	-35648,3	1,78067	60	3	0	0	60	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	105,8	105,8	0	0	0	0
354	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-01 00:00:00.000	2017-03-01 00:00:00.000	2017-03-01 00:00:00.000	Assets	USD	-133287,96	1,78067	60	3	0	0	60	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	395,57	395,57	0	0	0	0
355	BANK	FORFAITING + FACTORING IC	CLDL	FORFTIB	67820063	6,7811E+14	CCB SHENZHEN	2016-12-02 00:00:00.000	2017-03-02 00:00:00.000	2017-03-02 00:00:00.000	Assets	USD	-2560940,91	1,85417	61	3	0	0	61	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	8045,93	8045,93	0	0	0	0
356	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-12-09 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-7700778,91	1,65083	62	3	0	0	62	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	21894,05	21894,05	0	0	0	0
357	BANK	PREFINANCINGS	CLDD	FTBRDD	67821003	6,7811E+14	CCB JILIN BRANCH	2016-12-05 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-290011,89	1,74167	62	3	0	0	62	88	3	1	3	LIVE DATA	0	3M USD LIBOR	V	869,9	869,9	0	0	0	0
